household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,age,sex,occupation
1110,113,1,1,1,5,111,135,1,0,1,1
1210,111,1,1,1,3,111,132,1,0,1,1
1110,113,1,1,1,5,112,135,1,0,1,0
1121,113,1,1,1,5,111,137,2,0,1,1
1140,112,1,1,1,3,111,133,4,1,1,1
1121,112,1,1,1,5,111,135,2,0,1,1
1131,112,1,1,1,5,111,136,1,0,1,1
1122,113,1,1,2,2,111,124,2,0,1,0
1122,114,1,1,1,3,111,122,2,1,1,1
1122,126,1,1,1,3,111,138,2,0,1,1
1122,114,1,1,1,3,111,131,2,0,1,0
1121,112,1,1,1,1,120,132,2,1,1,1
1121,112,1,1,1,3,120,131,2,1,1,1
1110,114,1,1,1,2,112,122,1,0,1,0
1210,111,1,1,1,3,111,135,1,0,1,0
1122,114,1,1,1,2,111,122,2,0,1,0
1110,125,1,1,1,1,112,131,1,0,1,0
1122,114,1,1,1,5,111,137,2,0,1,1
1210,111,1,1,1,5,111,135,1,0,1,1
1122,113,1,1,1,3,120,132,2,1,1,1
1122,113,1,1,1,1,120,131,2,1,1,1
1210,111,1,1,1,3,111,136,1,0,1,0
1122,114,1,1,1,2,111,133,2,0,1,1
1122,114,1,2,2,5,120,135,2,1,1,1
1131,112,1,1,1,5,111,135,1,0,1,1
1122,125,1,1,1,5,111,137,2,1,1,1
1110,125,1,1,1,3,112,133,1,0,1,0
1122,114,1,1,1,3,111,138,2,0,1,0
1131,112,1,1,1,3,111,136,1,0,1,0
1110,126,1,1,1,3,112,139,1,0,1,0
1110,114,1,1,1,3,112,131,1,0,1,0
1122,114,1,1,1,2,111,131,2,0,1,0
1122,113,1,1,1,3,111,132,2,1,1,1
1140,113,1,1,1,3,111,131,4,1,1,1
1122,125,1,1,1,5,111,135,2,0,1,1
1131,112,1,1,1,3,120,135,1,0,1,1
1110,113,1,1,1,3,120,111,1,0,1,1
1110,113,1,1,1,3,111,135,1,0,1,1
1122,125,1,1,1,3,111,131,2,1,1,1
1132,113,1,1,1,5,111,122,1,0,1,1
1110,113,1,1,1,3,111,131,1,0,1,0
1122,113,1,1,1,5,111,137,2,1,1,1
1140,112,1,1,1,2,111,122,4,1,1,0
1122,113,1,1,1,2,111,111,2,1,1,1
1140,112,1,1,1,2,111,124,4,1,1,0
1122,113,1,1,1,3,111,134,2,1,1,0
1110,114,1,1,1,2,112,135,1,0,1,0
1121,112,1,1,1,2,111,122,2,0,1,1
1110,112,1,1,1,3,111,122,1,0,1,1
1110,113,1,1,1,2,112,131,1,0,1,0
1131,112,1,1,1,5,111,131,1,0,1,1
1122,125,1,1,1,5,111,138,2,0,1,1
1122,113,1,1,1,2,111,136,2,1,1,1
1210,111,2,1,1,3,111,131,1,0,1,0
1122,114,1,1,1,5,111,136,2,1,1,1
1122,113,1,1,1,5,111,135,2,1,1,1
1110,114,1,1,1,1,111,135,1,0,1,0
1121,112,1,1,1,2,120,111,2,1,1,1
1122,125,1,1,1,5,111,137,2,1,1,1
1122,114,1,1,3,3,111,134,2,1,1,1
1210,111,1,1,1,5,111,136,1,0,1,1
1122,114,1,1,1,3,111,122,2,1,1,1
1122,114,1,1,1,5,111,135,2,0,1,1
1122,114,1,1,1,2,111,122,2,0,1,1
1210,111,1,1,1,3,112,131,1,0,1,0
1122,114,1,1,2,2,111,132,2,0,1,0
1122,125,1,1,1,5,111,139,2,1,1,1
1122,114,1,1,1,2,111,131,2,1,1,0
1210,111,1,1,1,3,111,122,1,0,1,1
1121,112,1,1,1,3,111,124,2,1,1,1
1110,112,1,1,1,5,111,134,1,0,1,0
1121,112,1,1,1,5,111,135,2,0,1,1
1122,114,1,1,1,3,111,122,2,1,1,1
1122,113,1,1,1,3,111,131,2,0,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1122,114,1,3,3,3,111,133,2,0,1,1
1110,113,1,1,1,3,111,133,1,0,1,0
1122,113,1,1,1,3,111,111,2,0,1,1
1122,113,1,1,1,5,111,124,2,1,1,1
1122,114,1,1,1,2,111,131,2,1,1,1
1122,113,1,1,1,2,111,133,2,0,1,1
1122,114,1,1,1,1,120,111,2,1,1,1
1110,114,1,1,1,1,111,135,1,0,1,0
1122,114,1,1,1,3,111,133,2,0,1,0
1110,125,1,1,1,3,120,111,1,0,1,1
1122,114,1,1,1,4,111,124,2,1,1,1
1122,126,1,1,1,5,111,122,2,1,1,1
1121,112,1,1,1,3,111,133,2,1,1,1
1110,113,1,1,1,1,112,131,1,0,1,0
1132,113,1,1,1,3,111,136,1,0,1,0
1110,125,1,1,1,3,112,122,1,0,1,0
1122,114,1,1,1,2,111,131,2,1,1,0
1131,112,1,1,1,5,111,135,1,0,1,1
1122,125,1,1,1,5,111,137,2,1,1,1
1121,112,1,1,1,3,111,135,2,1,1,1
1122,113,1,1,1,3,111,124,2,1,1,1
1110,114,1,1,1,3,111,135,1,0,1,0
1122,125,1,1,1,3,111,124,2,1,1,0
1122,113,1,1,1,5,120,136,2,0,1,1
1121,112,1,1,1,5,111,139,2,1,1,0
1122,114,1,1,1,3,111,124,2,0,1,1
1122,114,1,1,1,5,111,131,2,0,1,1
1122,125,1,1,1,5,111,137,2,1,1,1
1131,112,1,1,1,5,111,135,1,0,1,1
1122,114,1,1,1,5,111,138,2,1,1,1
1122,113,1,1,1,5,111,133,2,0,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1210,111,1,1,1,1,111,122,1,0,1,0
1121,112,1,1,1,5,111,137,2,1,1,1
1210,111,1,1,1,3,111,135,1,0,1,1
1131,112,1,1,1,3,111,133,1,0,1,1
1122,114,1,1,1,3,111,138,2,0,1,1
1122,114,1,1,1,2,111,122,2,1,1,0
1210,111,1,1,1,5,111,135,1,0,1,1
1121,112,1,1,1,3,111,136,2,1,1,1
1210,111,1,1,1,4,111,122,1,0,1,1
1121,112,1,1,1,4,111,135,2,1,1,1
1132,113,1,1,1,5,111,122,1,0,1,1
1121,112,1,1,1,3,111,138,2,1,1,0
1121,112,1,1,1,3,111,133,2,0,1,0
1122,126,1,1,1,3,111,135,2,0,1,1
1122,114,1,1,1,3,111,124,2,0,1,1
1132,113,1,2,1,3,111,131,1,0,1,0
1121,112,1,1,1,1,111,131,2,1,1,0
1122,125,1,1,1,3,111,139,2,0,1,1
1121,112,1,1,1,5,111,138,2,1,1,1
1122,114,1,1,1,3,111,133,2,1,1,1
1131,112,1,1,1,5,111,135,1,0,1,1
1210,111,1,1,1,5,111,136,1,1,1,1
1122,113,1,1,1,3,111,133,2,0,1,1
1110,113,1,1,1,3,120,111,1,0,1,1
1210,111,1,1,1,5,111,139,1,1,1,1
1122,114,1,1,1,3,111,122,2,0,1,1
1122,114,1,1,1,3,120,111,2,1,1,1
1122,114,1,1,1,5,111,136,2,1,1,1
1122,113,1,1,1,3,111,136,2,1,1,0
1122,113,1,1,1,3,120,111,2,0,1,1
1210,111,1,1,1,4,120,139,1,0,1,1
1122,125,1,1,1,5,111,137,2,0,1,1
1122,114,1,1,1,3,111,133,2,0,1,0
1110,113,1,1,1,2,112,132,1,0,1,0
1131,112,1,1,1,4,111,131,1,0,1,1
1121,112,1,1,1,2,120,111,2,1,1,1
1122,113,1,1,1,5,111,122,2,0,1,1
1131,112,1,1,1,5,111,137,1,1,1,1
1122,113,1,1,1,3,111,136,2,1,1,1
1110,114,1,1,1,3,111,136,1,0,1,0
1122,125,1,1,1,5,111,137,2,0,1,1
1122,114,1,1,1,5,111,137,2,0,1,1
1110,113,1,1,1,2,111,136,1,0,1,0
1210,111,1,1,1,5,111,136,4,1,1,1
1122,125,1,1,1,3,111,131,2,1,1,0
1122,114,1,1,1,2,111,133,2,1,1,0
1122,113,1,1,1,5,120,135,2,1,1,1
1122,114,1,1,1,1,111,124,2,0,1,1
1131,112,1,1,1,5,111,136,1,0,1,1
1122,114,1,1,1,5,111,122,2,0,1,1
1220,112,1,1,1,5,111,137,1,1,1,1
1131,112,1,1,1,4,111,138,1,0,1,1
1210,111,1,1,1,2,111,122,1,0,1,1
1210,111,2,1,2,5,111,135,1,0,1,1
1110,113,1,1,1,3,112,133,1,0,1,0
1122,113,1,1,1,5,111,136,2,1,1,1
1210,111,1,1,1,3,120,124,4,0,1,1
1122,125,1,1,1,3,111,134,2,0,1,1
1122,114,1,1,1,2,120,122,2,1,1,1
1122,114,1,3,3,5,111,122,2,1,1,1
1121,112,1,1,1,1,120,111,2,1,1,1
1122,113,1,1,1,3,111,124,2,1,1,1
1122,114,1,1,1,5,111,135,2,1,1,1
1122,114,1,1,1,2,111,124,2,1,1,0
1122,125,1,1,1,5,111,135,2,0,1,1
1122,125,1,1,1,3,120,135,2,0,1,1
1121,112,1,1,1,3,111,135,2,1,1,1
1121,112,1,1,1,5,111,138,2,1,1,1
1122,113,1,1,1,2,111,111,2,1,1,1
1122,113,1,1,2,1,111,132,2,0,1,0
1121,112,1,1,1,5,120,135,2,1,1,1
1122,114,1,1,1,3,111,122,2,0,1,0
1122,113,1,1,1,3,111,136,2,1,1,0
1110,114,1,1,1,3,111,122,1,0,1,1
1122,125,1,1,1,3,111,131,2,0,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1122,114,1,1,1,5,111,136,2,0,1,1
1121,112,1,1,1,5,111,135,2,0,1,1
1131,112,1,1,1,3,111,122,1,0,1,0
1122,113,1,1,1,3,111,124,2,1,1,1
1132,113,1,1,1,3,111,122,4,0,1,0
1121,112,1,1,1,5,111,135,2,1,1,1
1121,112,1,1,1,2,111,122,2,1,1,1
1122,114,1,1,1,5,111,138,2,0,1,1
1110,112,1,1,1,2,112,135,1,0,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1122,113,1,1,1,3,111,136,2,0,1,0
1122,114,1,1,1,5,111,134,2,0,1,1
1121,112,1,1,1,4,111,122,2,1,1,1
1122,114,1,1,1,3,120,111,2,1,1,1
1121,112,1,1,1,4,111,135,2,0,1,1
1110,113,1,1,1,3,111,136,1,0,1,0
1110,113,1,1,1,3,112,133,1,0,1,0
1121,112,1,1,1,2,111,131,2,1,1,0
1122,113,1,1,1,2,111,133,2,0,1,0
1122,114,1,1,1,5,111,135,2,0,1,1
1121,112,1,1,1,2,111,122,2,0,1,0
1132,113,1,1,1,5,111,135,1,0,1,1
1110,112,1,1,1,2,111,122,1,0,1,0
1122,114,1,1,1,3,111,136,2,0,1,0
1210,111,1,1,1,5,111,137,1,0,1,1
1110,113,1,1,1,3,112,137,1,0,1,0
1122,125,1,1,1,3,111,136,2,1,1,0
1121,112,1,1,1,5,111,135,2,1,1,1
1110,113,1,1,1,3,111,135,1,0,1,0
1122,113,1,1,1,5,111,137,2,0,1,1
1121,113,1,1,1,3,111,131,2,1,1,0
1122,113,1,1,3,5,111,131,2,0,1,1
1122,113,1,1,1,5,111,122,2,0,1,0
1121,112,1,1,1,3,111,122,2,1,1,0
1121,112,1,1,1,2,111,131,2,0,1,1
1122,114,1,1,1,5,111,136,2,1,1,1
1132,113,1,1,1,5,111,124,4,1,1,1
1131,112,1,1,1,5,111,137,1,1,1,1
1110,114,1,1,3,2,111,132,1,0,1,0
1132,113,1,1,1,3,111,135,4,0,1,0
1131,112,1,1,1,1,111,136,1,1,1,0
1122,126,1,1,1,5,111,122,2,0,1,1
1210,111,1,2,2,3,111,135,1,1,1,0
1121,112,1,1,1,3,111,133,2,1,1,0
1131,112,1,1,1,3,111,136,1,0,1,0
1121,112,1,1,1,3,111,134,2,1,1,0
1131,112,1,1,1,3,120,132,1,0,1,1
1132,114,1,1,1,3,111,136,4,1,1,1
1122,113,1,1,1,2,111,122,2,0,1,0
1122,114,1,1,3,5,111,138,2,0,1,0
1121,112,1,1,1,5,111,122,2,1,1,1
1122,114,1,1,1,5,111,139,2,1,1,1
1220,125,2,1,1,1,111,135,1,0,1,0
1122,113,1,1,1,3,111,124,2,1,1,1
1122,114,1,1,1,3,111,122,2,1,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1122,113,1,1,1,3,111,122,2,0,1,0
1110,114,1,1,1,1,112,131,1,0,1,0
1131,112,1,1,1,5,111,135,1,0,1,1
1122,114,1,1,1,5,111,135,2,0,1,1
1210,111,1,1,1,5,111,135,1,0,1,1
1122,113,1,1,1,3,111,135,2,0,1,0
1122,113,1,1,1,5,111,136,2,1,1,1
1121,112,1,1,1,1,120,124,2,1,1,1
1122,113,1,1,1,5,111,135,2,0,1,1
1122,114,1,1,1,2,111,122,2,0,1,1
1122,114,1,1,1,2,111,134,2,1,1,1
1110,114,1,1,2,2,111,131,1,0,1,0
1131,112,1,1,1,3,111,122,1,0,1,1
1122,114,1,1,1,5,111,122,2,1,1,1
1122,114,1,1,1,3,111,122,2,0,1,1
1210,111,1,2,2,5,111,122,1,0,1,1
1122,114,1,1,1,4,111,136,2,0,1,0
1122,114,1,1,1,4,111,135,2,1,1,1
1110,114,1,1,1,2,112,132,1,0,1,0
1121,112,1,1,1,5,111,135,2,1,1,1
1122,126,1,2,2,1,111,111,2,0,1,0
1121,112,1,1,1,3,111,131,2,1,1,1
1122,114,1,1,1,3,111,131,2,1,1,0
1121,112,1,1,3,2,111,136,2,1,1,1
1121,112,1,1,1,3,111,135,2,1,1,1
1122,125,1,1,1,3,111,133,2,0,1,1
1122,114,1,1,1,2,111,122,2,0,1,1
1121,112,1,1,1,5,111,133,2,1,1,0
1121,112,1,1,1,3,111,138,2,1,1,0
1131,112,1,1,1,3,111,131,1,0,1,0
1121,112,1,1,1,3,111,134,2,0,1,1
1131,112,1,1,1,5,111,135,1,0,1,1
1110,113,1,1,1,3,112,134,1,0,1,0
1121,112,1,1,1,2,111,131,2,1,1,0
1122,113,1,1,1,5,111,135,2,0,1,1
1132,114,1,1,1,5,111,122,1,0,1,1
1122,126,1,1,3,2,111,135,2,0,1,0
1110,125,1,1,1,3,112,131,1,0,1,0
1110,125,1,1,1,5,111,131,1,0,1,0
1131,112,2,1,1,3,111,136,1,0,1,0
1210,111,2,1,1,5,111,135,4,0,1,1
1122,113,1,1,1,3,111,135,2,0,1,0
1122,125,1,1,1,5,111,135,2,0,1,1
1121,112,1,3,3,0,111,132,2,1,1,0
1122,114,1,1,1,5,111,138,2,1,1,1
1131,112,1,1,1,5,111,137,1,0,1,1
1121,112,1,1,1,3,111,136,2,0,1,0
1110,114,1,1,1,5,111,135,1,0,1,1
1121,112,1,1,1,3,111,131,2,1,1,0
1110,113,1,1,1,2,111,131,1,0,1,0
1121,112,1,1,1,2,111,135,2,1,1,0
1210,111,1,1,1,1,111,131,4,1,1,0
1121,112,1,1,1,5,111,136,2,1,1,1
1121,112,1,1,1,3,120,135,2,1,1,1
1122,113,1,1,1,1,111,138,2,1,1,1
1122,114,1,1,1,3,111,136,2,0,1,0
1122,125,1,1,1,3,111,122,2,1,1,1
1210,111,1,1,1,5,111,131,4,1,1,0
1121,112,1,1,1,3,111,133,2,1,1,0
1122,113,1,1,1,3,111,122,2,0,1,0
1122,114,1,1,1,5,111,135,2,0,1,1
1131,112,1,1,1,3,111,131,1,0,1,0
1131,112,1,1,1,3,111,131,1,0,1,1
1121,112,1,1,1,3,111,136,2,0,1,0
1110,113,1,1,1,3,111,133,1,0,1,0
1110,113,1,1,1,2,112,131,1,0,1,0
1122,114,1,1,1,5,111,133,2,0,1,1
1121,112,1,1,1,3,111,122,2,1,1,1
1132,114,1,1,1,5,111,138,1,1,1,1
1110,112,1,1,1,3,120,131,1,0,1,1
1110,114,1,1,1,2,111,132,1,0,1,0
1110,125,1,1,1,2,111,135,1,0,1,0
1122,113,1,1,1,1,120,111,2,1,1,1
1122,113,1,1,1,5,111,137,2,0,1,1
1122,114,1,1,1,5,111,134,2,0,1,0
1210,111,1,1,1,5,111,135,1,0,1,1
1122,114,1,1,1,3,111,122,2,0,1,0
1122,126,1,1,1,2,120,111,2,1,1,1
1131,112,1,1,1,5,111,122,1,0,1,0
1110,114,1,1,1,2,112,136,1,0,1,0
1122,125,1,1,1,3,111,111,2,0,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1122,114,1,1,1,5,111,138,2,1,1,1
1122,113,1,2,2,5,111,135,2,0,1,1
1122,113,1,1,1,3,111,131,2,0,1,1
1131,112,1,1,1,3,111,135,1,0,1,0
1110,114,1,1,1,2,111,133,1,0,1,0
1131,112,1,1,1,3,111,136,1,0,1,0
1131,112,1,1,1,3,111,132,1,0,1,0
1122,126,1,1,3,5,111,122,2,0,1,1
1121,126,1,1,1,3,111,134,2,1,1,1
1122,114,1,1,1,4,111,122,2,0,1,1
1122,125,1,1,2,3,111,131,2,0,1,0
1110,113,1,1,1,5,111,124,1,0,1,1
1131,112,1,1,1,5,111,133,1,0,1,1
1122,114,1,1,1,3,111,135,2,0,1,0
1210,111,1,1,1,5,111,137,1,0,1,1
1122,114,1,1,1,4,111,136,2,1,1,1
1121,112,1,1,1,5,111,135,2,0,1,1
1121,112,1,1,1,5,111,122,2,0,1,1
1132,113,1,1,1,5,120,138,4,1,1,1
1122,125,1,1,1,2,111,135,2,0,1,1
1121,112,1,1,1,2,111,124,2,1,1,1
1122,113,1,1,1,5,111,137,2,1,1,1
1122,113,1,1,1,3,120,111,2,1,1,1
1110,113,1,1,1,3,112,131,1,0,1,0
1132,113,1,1,1,3,111,135,1,0,1,1
1210,111,1,1,1,5,111,133,1,0,1,0
1131,112,1,1,1,1,111,135,4,1,1,0
1121,112,1,1,1,3,111,136,2,1,1,0
1122,125,1,1,1,3,111,131,2,0,1,1
1110,114,1,1,1,2,111,131,1,0,1,1
1122,113,1,1,1,2,111,137,2,0,1,0
1122,126,1,1,1,3,111,135,2,0,1,0
1122,113,1,1,1,3,111,124,2,1,1,1
1122,113,1,1,1,5,111,122,2,1,1,1
1131,112,1,1,1,3,111,135,4,1,1,0
1210,111,1,1,1,5,111,138,1,0,1,1
1131,112,1,1,1,4,111,122,1,0,1,1
1122,114,1,1,1,4,111,135,2,0,1,0
1121,112,1,1,1,3,111,122,2,1,1,1
1131,112,1,1,1,2,111,131,1,0,1,0
1122,113,1,1,1,3,111,124,2,0,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1132,113,2,3,3,3,111,132,2,0,1,0
1122,114,1,1,1,3,111,131,2,1,1,1
1122,126,1,1,1,5,111,137,2,1,1,1
1220,113,1,1,1,5,112,133,1,0,1,0
1131,112,1,1,1,5,111,138,1,0,1,1
1122,113,1,1,3,5,120,135,2,0,1,1
1121,112,1,1,1,2,111,131,2,0,1,0
1131,112,1,1,1,3,111,122,1,0,1,1
1122,126,1,1,1,5,111,122,2,1,1,1
1121,112,1,1,1,3,111,136,2,1,1,0
1131,112,1,1,1,5,111,135,1,0,1,0
1121,112,1,1,1,3,111,133,2,1,1,0
1122,125,1,1,1,5,111,137,2,0,1,1
1210,111,1,1,1,3,111,131,1,0,1,0
1122,125,1,1,1,3,111,135,2,0,1,1
1122,114,1,1,1,3,111,135,2,0,1,1
1122,114,1,1,1,5,111,139,2,1,1,1
1121,112,1,1,1,5,111,122,2,0,1,1
1122,125,1,1,1,3,111,135,2,0,1,0
1121,112,1,1,1,5,111,133,2,0,1,1
1122,114,1,1,1,5,111,134,2,0,1,0
1110,113,1,1,1,3,111,131,1,0,1,0
1122,114,1,1,1,4,111,137,2,0,1,1
1110,125,1,1,2,5,111,135,1,0,1,1
1110,113,1,1,1,3,111,133,1,0,1,0
1110,125,1,1,1,1,112,132,1,0,1,0
1132,114,1,1,1,1,111,131,4,0,1,1
1121,112,1,1,1,5,111,135,2,1,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1122,113,1,1,1,5,111,136,2,0,1,1
1131,112,1,1,1,5,111,135,1,0,1,1
1122,125,1,1,1,2,111,136,2,0,1,0
1122,113,1,1,1,2,111,122,2,0,1,0
1122,126,1,1,1,5,111,137,2,1,1,1
1220,125,1,3,3,1,111,111,1,0,1,0
1122,114,1,1,1,5,111,122,2,0,1,1
1122,113,1,1,1,5,111,135,2,0,1,1
1131,112,1,1,1,3,111,124,1,0,1,1
1122,113,1,1,1,3,111,136,2,0,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1131,112,2,1,1,5,111,135,1,0,1,1
1110,113,1,1,1,2,112,132,1,0,1,0
1110,113,1,1,1,2,112,132,1,0,1,0
1122,113,1,1,2,2,111,132,2,0,1,0
1110,113,1,1,1,3,111,139,1,0,1,0
1122,114,1,1,1,3,111,131,2,0,1,0
1220,126,1,2,1,1,112,124,1,0,1,0
1110,114,1,1,1,3,111,136,1,0,1,0
1122,114,1,1,1,5,111,122,2,1,1,1
1110,114,1,1,1,3,112,133,1,0,1,0
1122,113,1,1,1,5,111,122,2,0,1,1
1210,111,1,1,1,3,111,135,1,0,1,0
1122,113,1,1,1,5,111,137,2,1,1,1
1122,125,1,1,1,3,111,131,2,0,1,1
1121,112,1,1,1,4,111,122,2,1,1,1
1210,111,1,1,1,3,111,135,1,0,1,1
1122,114,1,1,1,3,111,136,2,0,1,1
1122,114,1,1,1,3,111,136,2,0,1,1
1110,114,1,1,1,2,111,131,1,0,1,0
1121,112,1,1,1,2,120,131,2,0,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1131,112,1,1,1,5,120,135,1,0,1,1
1210,111,1,1,1,3,111,122,1,0,1,0
1131,112,1,1,1,1,111,122,1,0,1,1
1122,113,1,1,1,5,111,137,2,1,1,1
1122,126,1,1,1,3,120,111,2,1,1,1
1131,112,1,1,3,1,111,122,1,0,1,0
1210,111,1,1,1,4,112,139,1,0,1,1
1122,113,1,1,1,2,111,122,2,0,1,0
1110,114,1,1,1,2,111,136,1,0,1,0
1122,113,1,1,1,3,120,111,2,1,1,1
1210,111,1,1,1,5,111,139,4,1,1,0
1122,114,1,1,1,5,111,124,2,1,1,1
1122,113,1,1,1,3,111,134,2,1,1,0
1210,111,1,1,1,5,111,135,1,0,1,1
1132,114,1,1,1,5,111,138,1,0,1,1
1122,125,1,1,1,2,111,133,2,1,1,0
1122,114,1,1,1,5,111,122,2,0,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1121,112,1,1,1,4,111,131,2,1,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1210,111,1,1,1,2,111,122,1,0,1,0
1122,113,1,1,1,3,111,122,2,1,1,0
1122,125,1,1,1,3,111,122,2,1,1,1
1131,112,1,1,1,3,111,131,1,0,1,0
1122,113,1,1,1,5,111,135,2,1,1,1
1122,126,1,1,1,5,111,135,2,0,1,1
1122,125,1,1,2,1,120,133,2,0,1,1
1122,114,1,1,1,3,111,122,2,1,1,1
1122,113,1,1,1,3,111,131,2,1,1,0
1122,114,1,1,1,5,111,137,2,1,1,1
1140,113,1,1,2,5,111,137,4,0,1,1
1121,112,1,1,1,2,111,122,2,1,1,1
1110,114,1,1,1,3,112,138,1,0,1,0
1210,111,1,1,1,3,111,131,1,0,1,0
1122,125,1,1,1,3,120,111,2,0,1,1
1122,113,1,1,1,3,111,122,2,0,1,0
1122,114,1,1,1,5,111,137,2,1,1,1
1121,112,1,1,1,3,111,124,2,1,1,1
1122,113,1,1,1,1,111,134,2,1,1,0
1131,112,1,1,1,5,111,131,1,0,1,0
1122,114,1,1,1,3,120,132,2,0,1,1
1210,111,1,1,1,3,111,122,1,0,1,1
1110,114,1,1,1,3,112,132,1,0,1,1
1121,112,1,1,1,5,111,137,2,1,1,1
1121,112,1,1,1,3,120,124,2,1,1,1
1131,112,1,1,1,3,111,131,1,0,1,0
1121,112,1,1,1,5,111,136,2,0,1,1
1122,126,1,1,1,5,111,137,2,1,1,1
1122,114,1,1,1,5,111,137,2,1,1,1
1110,113,1,1,1,2,111,132,1,0,1,0
1121,112,1,1,3,5,111,135,2,0,1,1
1140,112,1,1,1,5,111,136,3,1,1,1
1122,113,1,1,1,5,111,138,2,0,1,1
1121,112,1,1,1,2,111,133,2,1,1,0
